         4335032 function calls (4299212 primitive calls) in 2840.405 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:646(Handler)
        2    0.000    0.000    0.000    0.000 __init__.py:655(__init__)
        5    0.000    0.000    0.042    0.008 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:74(LazyImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:75(IndexSizeErr)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:78(DomstringSizeErr)
        1    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:81(HierarchyRequestErr)
        1    0.000    0.000    0.000    0.000 __init__.py:810(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:84(WrongDocumentErr)
        1    0.000    0.000    0.000    0.000 __init__.py:87(InvalidCharacterErr)
        1    0.000    0.000    0.000    0.000 __init__.py:881(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:90(NoDataAllowedErr)
        1    0.000    0.000    0.000    0.000 __init__.py:93(NoModificationAllowedErr)
        1    0.000    0.000    0.000    0.000 __init__.py:946(PlaceHolder)
        6    0.000    0.000    0.000    0.000 __init__.py:952(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:959(append)
        1    0.000    0.000    0.000    0.000 __init__.py:96(NotFoundErr)
        2    0.093    0.047    0.164    0.082 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:99(NotSupportedErr)
        1    0.000    0.000    0.000    0.000 __init__.py:993(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:998(__init__)
        1    0.000    0.000    0.000    0.000 _abcoll.py:128(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _abcoll.py:24(_hasattr)
        3    0.000    0.000    0.000    0.000 _abcoll.py:26(<genexpr>)
    34170    0.117    0.000    0.196    0.000 _abcoll.py:360(get)
     2857    0.008    0.000    0.012    0.000 _abcoll.py:367(__contains__)
    11193    0.014    0.000    0.031    0.000 _abcoll.py:384(iteritems)
     2844    0.020    0.000    0.048    0.000 _abcoll.py:393(items)
    19917    0.164    0.000    0.632    0.000 _abcoll.py:526(update)
       23    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:101(HTTPHeaderDict)
     2848    0.011    0.000    0.052    0.000 _collections.py:145(__init__)
    17061    0.026    0.000    0.048    0.000 _collections.py:151(add)
    35547    0.061    0.000    0.202    0.000 _collections.py:181(__getitem__)
    68244    0.023    0.000    0.023    0.000 _collections.py:183(<genexpr>)
    17061    0.021    0.000    0.031    0.000 _collections.py:185(__setitem__)
     1424    0.002    0.000    0.002    0.000 _collections.py:191(__len__)
    36970    0.021    0.000    0.030    0.000 _collections.py:194(__iter__)
        1    0.000    0.000    0.000    0.000 _collections.py:26(RecentlyUsedContainer)
        2    0.000    0.000    0.000    0.000 _collections.py:42(__init__)
     1424    0.008    0.000    0.032    0.000 _collections.py:49(__getitem__)
        1    0.000    0.000    0.000    0.000 _collections.py:56(__setitem__)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:105(SAXNotRecognizedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:115(SAXNotSupportedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:125(SAXReaderNotAvailable)
        1    0.000    0.000    0.000    0.000 _exceptions.py:46(SAXParseException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:9(SAXException)
        1    0.000    0.000    0.000    0.000 _implementation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _implementation.py:10(CertificateError)
       15    0.000    0.000    0.000    0.000 _implementation.py:14(_dnsname_match)
       15    0.000    0.000    0.000    0.000 _implementation.py:67(match_hostname)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:172(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:452(AddressList)
        1    0.029    0.029    0.029    0.029 _parseaddr.py:7(<module>)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       60    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       63    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
    62636    0.061    0.000    0.061    0.000 _weakrefset.py:68(__contains__)
       54    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       13    0.000    0.000    0.000    0.000 abc.py:105(register)
    39826    0.080    0.000    0.146    0.000 abc.py:128(__instancecheck__)
8568/8548    0.008    0.000    0.018    0.000 abc.py:148(__subclasscheck__)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       14    0.000    0.000    0.001    0.000 abc.py:86(__new__)
       55    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        2    0.000    0.000    0.000    0.000 adapters.py:108(init_poolmanager)
     1424    0.004    0.000    0.010    0.000 adapters.py:151(cert_verify)
     1424    0.025    0.000    1.246    0.001 adapters.py:188(build_response)
     1424    0.010    0.000    0.160    0.000 adapters.py:224(get_connection)
     1424    0.006    0.000    0.024    0.000 adapters.py:255(request_url)
     1424    0.000    0.000    0.000    0.000 adapters.py:279(add_headers)
     1424    0.028    0.000 2832.511    1.989 adapters.py:315(send)
        1    0.000    0.000    0.000    0.000 adapters.py:39(BaseAdapter)
        2    0.000    0.000    0.000    0.000 adapters.py:42(__init__)
        1    0.000    0.000    0.000    0.000 adapters.py:52(HTTPAdapter)
        2    0.000    0.000    0.000    0.000 adapters.py:77(__init__)
        1    0.000    0.000    0.000    0.000 adapters.py:9(<module>)
        1    0.002    0.002    0.005    0.005 api.py:12(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:35(AuthBase)
        1    0.000    0.000    0.000    0.000 auth.py:42(HTTPBasicAuth)
        1    0.000    0.000    0.000    0.000 auth.py:53(HTTPProxyAuth)
        1    0.000    0.000    0.000    0.000 auth.py:60(HTTPDigestAuth)
        1    0.000    0.000    0.000    0.000 auth.py:8(<module>)
       11    0.000    0.000    0.000    0.000 base.py:104(subtype)
        1    0.000    0.000    0.000    0.000 base.py:120(prettyIn)
        1    0.000    0.000    0.000    0.000 base.py:151(AbstractConstructedAsn1Item)
       73    0.000    0.000    0.000    0.000 base.py:154(__init__)
      153    0.000    0.000    0.000    0.000 base.py:18(__init__)
       45    0.000    0.000    0.001    0.000 base.py:195(clone)
        1    0.013    0.013    0.021    0.021 base.py:2(<module>)
        1    0.000    0.000    0.000    0.000 base.py:208(subtype)
       15    0.000    0.000    0.000    0.000 base.py:231(verifySizeSpec)
       15    0.000    0.000    0.000    0.000 base.py:238(getComponentType)
       30    0.000    0.000    0.000    0.000 base.py:243(__len__)
